cID_DI,BP,RI,sense,DVG_type,length_dvg,mean_read_counts,std_read_counts,mean_rpht,std_rpht,read_counts_virema,pBP_virema,pRI_virema,rpht_virema,read_counts_ditector,pBP_ditector,pRI_ditector,rpht_ditector
++_11386_11001,11386,11001,++,Insertion_forward,30289,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0006807351940095302,0.0006993006993006993,0.3338073397557865,1,0.0006779661016949153,0.000697350069735007,0.3436508781998192
++_11649_10414,11649,10414,++,Insertion_forward,31139,1.5,0.5,0.5105545480777125,0.17674720832192595,1,0.00037835792659856227,0.0007552870090634441,0.3338073397557865,2,0.0007544322897019992,0.0007552870090634441,0.6873017563996384
++_11940_11695,11940,11695,++,Insertion_forward,30149,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0004347826086956522,0.0006578947368421052,0.3338073397557865,1,0.0004338394793926247,0.0006557377049180328,0.3436508781998192
++_15560_25292,15560,25292,++,Deletion_forward,20172,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.00047058823529411766,0.0006142506142506142,0.3338073397557865,1,0.0004701457451810061,0.0006203473945409429,0.3436508781998192
++_16317_15532,16317,15532,++,Insertion_forward,30689,4.0,0.0,1.3549164359112114,0.01968707688806537,4,0.00936768149882904,0.0015384615384615385,1.335229359023146,4,0.009324009324009324,0.0015414258188824663,1.3746035127992768
++_1773_1288,1773,1288,++,Insertion_forward,30389,5.0,3.0,1.7084108525550634,1.0407961730434903,2,0.0006121824303642485,0.0013736263736263737,0.667614679511573,8,0.0024405125076266015,0.0013726835964310226,2.7492070255985537
++_18019_18052,18019,18052,++,Deletion_forward,29871,1.5,0.5,0.5105545480777125,0.17674720832192595,1,0.0010152284263959391,0.0011534025374855825,0.3338073397557865,2,0.002034587995930824,0.0011534025374855825,0.6873017563996384
++_1826_1216,1826,1216,++,Insertion_forward,30514,2.0,0.0,0.6774582179556057,0.009843538444032685,2,0.0006443298969072165,0.0012277470841006752,0.667614679511573,2,0.0006416426050689766,0.001226241569589209,0.6873017563996384
++_18992_18387,18992,18387,++,Insertion_forward,30509,35.5,14.5,12.09624902243124,5.086294887559722,21,0.011864406779661017,0.01439342015078821,7.009954134871517,50,0.02788622420524261,0.014423076923076924,17.18254390999096
++_19683_19830,19683,19830,++,Deletion_forward,29757,26.5,11.5,9.032921733964965,4.025811637628166,15,0.011476664116296864,0.01160092807424594,5.007110096336799,38,0.028831562974203338,0.01156515034695451,13.058733371593132
++_20275_20339,20275,20339,++,Deletion_forward,29840,2.5,1.5,0.8542054262775317,0.5203980865217451,1,0.004739336492890996,0.0048543689320388345,0.3338073397557865,4,0.018957345971563982,0.004878048780487805,1.3746035127992768
++_20847_20866,20847,20866,++,Deletion_forward,29885,11.5,3.5,3.8781585609676763,1.1289515353691226,15,0.0054249547920434,0.007048872180451127,5.007110096336799,8,0.0029229082937522835,0.007048872180451127,2.7492070255985537
++_22655_22603,22655,22603,++,Insertion_forward,29956,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0010080645161290322,0.0011248593925759281,0.3338073397557865,1,0.0010070493454179255,0.0011261261261261261,0.3436508781998192
++_23554_23584,23554,23584,++,Deletion_forward,29874,12.5,4.5,4.211965900723463,1.462758875124909,17,0.013832384052074858,0.013643659711075442,5.674724775848372,8,0.006578947368421052,0.013610888710968775,2.7492070255985537
++_23560_23583,23560,23583,++,Deletion_forward,29881,9.5,2.5,3.205622112234087,0.8000659648353523,12,0.010416666666666666,0.00963855421686747,4.005688077069439,7,0.006129597197898424,0.009584664536741214,2.4055561473987344
++_23583_23598,23583,23598,++,Deletion_forward,29889,9.0,7.0,3.0141095962461115,2.326807839846473,16,0.01285140562248996,0.011799410029498525,5.340917436092584,2,0.001597444089456869,0.011790714812085483,0.6873017563996384
++_24127_24138,24127,24138,++,Deletion_forward,29893,4.5,3.5,1.5070547981230558,1.1634039199232364,8,0.004415011037527594,0.004273504273504274,2.670458718046292,1,0.0005485463521667581,0.004287245444801715,0.3436508781998192
++_24393_2668,24393,2668,++,Insertion_forward,51629,1.0,0.0,0.33872910897780284,0.004921769222016342,1,0.0009328358208955224,0.0024937655860349127,0.3338073397557865,1,0.0009285051067780873,0.0024937655860349127,0.3436508781998192
